level,5000k F90 3,5000k F90 4,5700k Thrive,5000k F90 1,5000k F90 2,dalid,dalie,dalif,dalig,dalih,espnow,relay1,relay2,r,g,b,power
201,226,0,247,231,231,233,233,233,233,233,233,1,1,17,10,14,181.08943
202,231,0,247,231,231,234,234,234,234,234,234,1,1,18,10,14,184.59322
203,232,0,247,232,232,234,234,234,234,234,234,1,1,18,10,14,186.87324
204,233,0,247,233,233,235,235,235,235,235,235,1,1,19,10,14,189.21636
205,234,0,247,234,234,235,235,235,235,235,235,1,1,19,10,14,191.62435
206,235,0,247,235,235,236,236,236,236,236,236,1,1,20,9,14,194.09898
207,236,0,247,236,236,237,237,237,237,237,237,1,1,20,9,14,196.64211
208,237,131,247,237,237,237,237,237,237,237,237,1,1,20,9,14,201.04578
209,235,190,247,235,235,238,238,238,238,238,238,1,1,20,9,14,203.06278
210,233,210,247,233,233,238,238,238,238,238,238,1,1,20,9,14,204.69192
211,232,222,247,232,232,239,239,239,239,239,239,1,1,20,9,13,208.34851
212,231,230,247,231,231,239,239,239,239,239,239,1,1,20,9,13,211.311
213,231,231,247,231,231,240,240,240,240,240,240,1,1,20,8,13,212.05054
214,232,232,247,232,232,240,240,240,240,240,240,1,1,21,8,13,215.09056
215,233,233,247,233,233,240,240,240,240,240,240,1,1,21,8,13,218.21473
216,234,234,247,234,234,241,241,241,241,241,241,1,1,21,8,13,221.42537
217,235,235,247,235,235,241,241,241,241,241,241,1,1,21,8,12,224.72489
218,236,236,247,236,236,242,242,242,242,242,242,1,1,21,8,12,228.11573
219,236,236,247,236,236,242,242,242,242,242,242,1,1,21,8,12,228.11573
220,237,237,247,237,237,243,243,243,243,243,243,1,1,21,8,12,231.60043
221,238,238,247,238,238,243,243,243,243,243,243,1,1,21,7,12,235.18159
222,239,239,247,239,239,244,244,244,244,244,244,1,1,21,7,12,238.86187
223,239,239,247,239,239,244,244,244,244,244,244,1,1,22,7,12,238.86187
224,240,240,247,240,240,244,244,244,244,244,244,1,1,22,7,11,242.64401
225,241,241,247,241,241,245,245,245,245,245,245,1,1,22,7,11,246.53085
226,241,241,247,241,241,245,245,245,245,245,245,1,1,22,7,11,246.53085
227,242,242,247,242,242,246,246,246,246,246,246,1,1,22,7,11,250.52527
228,243,243,247,243,243,246,246,246,246,246,246,1,1,22,7,11,254.63026
229,243,243,247,243,243,246,246,246,246,246,246,1,1,22,6,11,254.63026
230,244,244,247,244,244,247,247,247,247,247,247,1,1,22,6,11,258.84887
231,244,244,247,244,244,247,247,247,247,247,247,1,1,22,6,10,258.84887
232,245,245,247,245,245,247,247,247,247,247,247,1,1,23,6,10,263.18425
233,246,246,247,246,246,248,248,248,248,248,248,1,1,23,6,10,267.63963
234,246,246,247,246,246,248,248,248,248,248,248,1,1,23,6,10,267.63963
235,247,247,247,247,247,248,248,248,248,248,248,1,1,23,6,10,272.21833
236,247,247,247,247,247,249,249,249,249,249,249,1,1,23,6,10,272.21833
237,248,248,247,248,248,249,249,249,249,249,249,1,1,23,5,9,276.92377
238,248,248,247,248,248,249,249,249,249,249,249,1,1,23,5,9,276.92377
239,249,249,247,249,249,250,250,250,250,250,250,1,1,23,5,9,281.75945
240,249,249,247,249,249,250,250,250,250,250,250,1,1,23,5,9,281.75945
241,250,250,247,250,250,250,250,250,250,250,250,1,1,23,5,9,286.72899
242,250,250,247,250,250,251,251,251,251,251,251,1,1,24,5,9,286.72899
243,250,250,247,250,250,251,251,251,251,251,251,1,1,24,5,9,286.72899
244,251,251,247,251,251,251,251,251,251,251,251,1,1,24,5,8,291.83607
245,251,251,247,251,251,251,251,251,251,251,251,1,1,24,4,8,291.83607
246,252,252,247,252,252,252,252,252,252,252,252,1,1,24,4,8,297.08452
247,252,252,247,252,252,252,252,252,252,252,252,1,1,24,4,8,297.08452
248,252,252,247,252,252,252,252,252,252,252,252,1,1,24,4,8,297.08452
249,253,253,247,253,253,252,252,252,252,252,252,1,1,24,4,8,302.47825
250,253,253,247,253,253,253,253,253,253,253,253,1,1,24,4,7,302.47825
251,253,253,247,253,253,253,253,253,253,253,253,1,1,25,4,7,302.47825
252,254,254,247,254,254,253,253,253,253,253,253,1,1,25,4,7,308.02127
253,254,254,247,254,254,253,253,253,253,253,253,1,1,25,3,7,308.02127
254,254,254,247,254,254,254,254,254,254,254,254,1,1,25,3,7,308.02127
