level,F90s,S90,5000k Thrive,dalib,dalic,dalid,dalie,dalif,dalig,dalih,espnow,relay1,relay2,r,g,b,power
192,240,0,0,228,228,228,228,228,228,228,228,0,1,13,12,14,53.49438
193,241,0,0,229,229,229,229,229,229,229,229,0,1,14,12,14,54.975079
194,241,0,0,229,229,229,229,229,229,229,229,0,1,14,12,14,54.975079
195,242,0,0,230,230,230,230,230,230,230,230,0,1,15,12,14,56.496764
196,243,0,0,230,230,230,230,230,230,230,230,0,1,15,11,14,58.060568
197,241,165,0,231,231,231,231,231,231,231,231,0,1,16,11,14,59.28888
198,241,172,0,232,232,232,232,232,232,232,232,0,1,16,11,14,60.197406
199,241,178,0,232,232,232,232,232,232,232,232,0,1,16,11,14,61.126994
200,241,183,0,233,233,233,233,233,233,233,233,0,1,17,11,14,62.026861
201,242,189,0,233,233,233,233,233,233,233,233,0,1,17,10,14,64.803781
202,242,193,0,234,234,234,234,234,234,234,234,0,1,18,10,14,65.762415
203,242,197,0,234,234,234,234,234,234,234,234,0,1,18,10,14,66.831675
204,242,201,0,235,235,235,235,235,235,235,235,0,1,19,10,14,68.024329
205,242,204,0,235,235,235,235,235,235,235,235,0,1,19,10,14,69.008302
206,242,208,0,236,236,236,236,236,236,236,236,0,1,20,9,14,70.45214
207,242,211,0,237,237,237,237,237,237,237,237,0,1,20,9,14,71.643347
208,241,216,0,237,237,237,237,237,237,237,237,0,1,20,9,14,72.337217
209,240,222,0,238,238,238,238,238,238,238,238,0,1,20,9,14,73.947023
210,239,228,0,238,238,238,238,238,238,238,238,0,1,20,9,14,76.146828
211,236,235,0,239,239,239,239,239,239,239,239,0,1,20,9,13,77.127325
212,237,235,0,239,239,239,239,239,239,239,239,0,1,20,9,13,78.45483
213,238,236,0,240,240,240,240,240,240,240,240,0,1,20,8,13,80.626423
214,238,237,0,240,240,240,240,240,240,240,240,0,1,21,8,13,81.456113
215,239,237,0,240,240,240,240,240,240,240,240,0,1,21,8,13,82.858125
216,239,238,0,241,241,241,241,241,241,241,241,0,1,21,8,13,83.710781
217,240,238,0,241,241,241,241,241,241,241,241,0,1,21,8,12,85.151599
218,240,239,0,242,242,242,242,242,242,242,242,0,1,21,8,12,86.027856
219,241,239,0,242,242,242,242,242,242,242,242,0,1,21,8,12,87.508555
220,242,240,0,243,243,243,243,243,243,243,243,0,1,21,8,12,89.930751
221,242,241,0,243,243,243,243,243,243,243,243,0,1,21,7,12,90.856189
222,243,241,0,244,244,244,244,244,244,244,244,0,1,21,7,12,92.419993
223,243,242,0,244,244,244,244,244,244,244,244,0,1,22,7,12,93.371045
224,244,242,0,244,244,244,244,244,244,244,244,0,1,22,7,11,94.978135
225,244,243,0,245,245,245,245,245,245,245,245,0,1,22,7,11,95.955512
226,245,243,0,245,245,245,245,245,245,245,245,0,1,22,7,11,97.607085
227,245,244,0,246,246,246,246,246,246,246,246,0,1,22,7,11,98.611516
228,246,244,0,246,246,246,246,246,246,246,246,0,1,22,7,11,100.3088
229,246,245,0,246,246,246,246,246,246,246,246,0,1,22,6,11,101.34104
230,247,245,0,247,247,247,247,247,247,247,247,0,1,22,6,11,103.0853
231,247,245,0,247,247,247,247,247,247,247,247,0,1,22,6,10,103.0853
232,247,246,0,247,247,247,247,247,247,247,247,0,1,23,6,10,104.14611
233,248,246,0,248,248,248,248,248,248,248,248,0,1,23,6,10,105.93866
234,248,247,0,248,248,248,248,248,248,248,248,0,1,23,6,10,107.02883
235,249,247,0,248,248,248,248,248,248,248,248,0,1,23,6,10,108.87099
236,249,248,0,249,249,249,249,249,249,249,249,0,1,23,6,10,109.99133
237,250,248,0,249,249,249,249,249,249,249,249,0,1,23,5,9,111.88449
238,250,248,0,249,249,249,249,249,249,249,249,0,1,23,5,9,111.88449
239,250,249,0,250,250,250,250,250,250,250,250,0,1,23,5,9,113.03584
240,251,249,0,250,250,250,250,250,250,250,250,0,1,23,5,9,114.9814
241,251,250,0,250,250,250,250,250,250,250,250,0,1,23,5,9,116.16462
242,251,250,0,251,251,251,251,251,251,251,251,0,1,24,5,9,116.16462
243,252,250,0,251,251,251,251,251,251,251,251,0,1,24,5,9,118.16403
244,252,251,0,251,251,251,251,251,251,251,251,0,1,24,5,8,119.38
245,252,251,0,251,251,251,251,251,251,251,251,0,1,24,4,8,119.38
246,253,251,0,252,252,252,252,252,252,252,252,0,1,24,4,8,121.43476
247,253,252,0,252,252,252,252,252,252,252,252,0,1,24,4,8,122.68439
248,253,252,0,252,252,252,252,252,252,252,252,0,1,24,4,8,122.68439
249,254,252,0,252,252,252,252,252,252,252,252,0,1,24,4,8,124.79601
250,254,252,0,253,253,253,253,253,253,253,253,0,1,24,4,7,124.79601
251,254,253,0,253,253,253,253,253,253,253,253,0,1,25,4,7,126.08023
252,254,254,0,253,253,253,253,253,253,253,253,0,1,25,4,7,127.4
253,254,254,0,253,253,253,253,253,253,253,253,0,1,25,3,7,127.4
254,254,254,0,254,254,254,254,254,254,254,254,0,1,25,3,7,127.4
